time,target_x,target_y,target_z,target_yaw,x,y,z,yaw
1776702216152.0000,0.0000,0.0000,2.0000,0.0000,-0.0099,-1.0147,0.8061,0.3302
3553404432404.0000,0.0000,0.0000,2.0000,0.0000,-0.0115,-1.0129,0.8085,0.3249
5330106648757.0000,0.0000,0.0000,2.0000,0.0000,-0.0130,-1.0111,0.8108,0.3272
7106808865210.0000,0.0000,0.0000,2.0000,0.0000,-0.0147,-1.0089,0.8125,0.3231
8883511081762.0000,0.0000,0.0000,2.0000,0.0000,-0.0161,-1.0065,0.8135,0.3261
10660213298414.0000,0.0000,0.0000,2.0000,0.0000,-0.0173,-1.0044,0.8137,0.3266
12436915515166.0000,0.0000,0.0000,2.0000,0.0000,-0.0181,-1.0021,0.8133,0.3236
14213617732020.0000,0.0000,0.0000,2.0000,0.0000,-0.0185,-0.9997,0.8132,0.3261
15990319948972.0000,0.0000,0.0000,2.0000,0.0000,-0.0190,-0.9975,0.8125,0.3260
17767022166024.0000,0.0000,0.0000,2.0000,0.0000,-0.0191,-0.9952,0.8119,0.3266
19543724383177.0000,0.0000,0.0000,2.0000,0.0000,-0.0193,-0.9933,0.8117,0.3271
21320426600429.0000,0.0000,0.0000,2.0000,0.0000,-0.0192,-0.9906,0.8120,0.3121
23097128817786.0000,0.0000,0.0000,2.0000,0.0000,-0.0180,-0.9864,0.8153,0.2890
24873831035242.0000,0.0000,0.0000,2.0000,0.0000,-0.0151,-0.9799,0.8216,0.2660
26650533252798.0000,0.0000,0.0000,2.0000,0.0000,-0.0098,-0.9694,0.8299,0.2397
28427235470454.0000,0.0000,0.0000,2.0000,0.0000,-0.0020,-0.9546,0.8413,0.2208
30203937688210.0000,0.0000,0.0000,2.0000,0.0000,0.0080,-0.9355,0.8542,0.2009
31980639906066.0000,0.0000,0.0000,2.0000,0.0000,0.0198,-0.9126,0.8680,0.1883
33757342124021.0000,0.0000,0.0000,2.0000,0.0000,0.0314,-0.8879,0.8805,0.1763
35534044342077.0000,0.0000,0.0000,2.0000,0.0000,0.0431,-0.8585,0.8944,0.1651
37310746560233.0000,0.0000,0.0000,2.0000,0.0000,0.0517,-0.8280,0.9074,0.1520
39087448778490.0000,0.0000,0.0000,2.0000,0.0000,0.0570,-0.7958,0.9202,0.1469
40864150996847.0000,0.0000,0.0000,2.0000,0.0000,0.0577,-0.7621,0.9336,0.1324
42640853215304.0000,0.0000,0.0000,2.0000,0.0000,0.0536,-0.7269,0.9479,0.1282
44417555433860.0000,0.0000,0.0000,2.0000,0.0000,0.0440,-0.6906,0.9628,0.1165
46194257652517.0000,0.0000,0.0000,2.0000,0.0000,0.0291,-0.6536,0.9776,0.1073
47970959871273.0000,0.0000,0.0000,2.0000,0.0000,0.0093,-0.6159,0.9922,0.0994
49747662090129.0000,0.0000,0.0000,2.0000,0.0000,-0.0152,-0.5783,1.0055,0.0939
51524364309085.0000,0.0000,0.0000,2.0000,0.0000,-0.0435,-0.5408,1.0197,0.0922
53301066528140.0000,0.0000,0.0000,2.0000,0.0000,-0.0657,-0.5123,1.0308,0.0849
55077768747298.0000,0.0000,0.0000,2.0000,0.0000,-0.0939,-0.4746,1.0441,0.0810
56854470966556.0000,0.0000,0.0000,2.0000,0.0000,-0.1180,-0.4365,1.0567,0.0726
58631173185919.0000,0.0000,0.0000,2.0000,0.0000,-0.1363,-0.3958,1.0700,0.0639
60407875405385.0000,0.0000,0.0000,2.0000,0.0000,-0.1479,-0.3496,1.0858,0.0573
62184577624953.0000,0.0000,0.0000,2.0000,0.0000,-0.1509,-0.3135,1.0988,0.0487
63961279844623.0000,0.0000,0.0000,2.0000,0.0000,-0.1485,-0.2700,1.1144,0.0428
65737982064393.0000,0.0000,0.0000,2.0000,0.0000,-0.1411,-0.2278,1.1296,0.0370
67514684284268.0000,0.0000,0.0000,2.0000,0.0000,-0.1287,-0.1835,1.1447,0.0315
69291386504246.0000,0.0000,0.0000,2.0000,0.0000,-0.1120,-0.1391,1.1602,0.0276
71068088724326.0000,0.0000,0.0000,2.0000,0.0000,-0.0926,-0.0963,1.1752,0.0270
72844790944508.0000,0.0000,0.0000,2.0000,0.0000,-0.0694,-0.0517,1.1907,0.0249
74621493164790.0000,0.0000,0.0000,2.0000,0.0000,-0.0446,-0.0086,1.2057,0.0265
76398195385176.0000,0.0000,0.0000,2.0000,0.0000,-0.0163,0.0367,1.2216,0.0250
78174897605636.0000,0.0000,0.0000,2.0000,0.0000,0.0131,0.0804,1.2359,0.0266
79951599826196.0000,0.0000,0.0000,2.0000,0.0000,0.0441,0.1224,1.2501,0.0260
81728302046856.0000,0.0000,0.0000,2.0000,0.0000,0.0746,0.1607,1.2637,0.0246
83505004267616.0000,0.0000,0.0000,2.0000,0.0000,0.1019,0.1926,1.2766,0.0235
