time,target_x,target_y,target_z,target_yaw,x,y,z,yaw
1776701242700.0000,0.0000,0.0000,2.0000,0.0000,0.0027,-1.9341,0.8141,-0.2685
3553402485504.0000,0.0000,0.0000,2.0000,0.0000,0.0031,-1.9297,0.8115,-0.2689
5330103728408.0000,0.0000,0.0000,2.0000,0.0000,0.0030,-1.9258,0.8099,-0.2662
7106804971411.0000,0.0000,0.0000,2.0000,0.0000,0.0032,-1.9220,0.8085,-0.2712
8883506214516.0000,0.0000,0.0000,2.0000,0.0000,0.0029,-1.9189,0.8081,-0.2733
10660207457720.0000,0.0000,0.0000,2.0000,0.0000,0.0024,-1.9157,0.8073,-0.2714
12436908701024.0000,0.0000,0.0000,2.0000,0.0000,0.0016,-1.9131,0.8064,-0.2709
14213609944428.0000,0.0000,0.0000,2.0000,0.0000,0.0004,-1.9105,0.8061,-0.2741
15990311187931.0000,0.0000,0.0000,2.0000,0.0000,-0.0015,-1.9081,0.8062,-0.2697
17767012431535.0000,0.0000,0.0000,2.0000,0.0000,-0.0036,-1.9057,0.8062,-0.2711
19543713675238.0000,0.0000,0.0000,2.0000,0.0000,-0.0061,-1.9040,0.8059,-0.2724
21320414919041.0000,0.0000,0.0000,2.0000,0.0000,-0.0084,-1.9027,0.8062,-0.2667
23097116162945.0000,0.0000,0.0000,2.0000,0.0000,-0.0104,-1.9015,0.8063,-0.2703
24873817406948.0000,0.0000,0.0000,2.0000,0.0000,-0.0124,-1.9003,0.8065,-0.2698
26650518651058.0000,0.0000,0.0000,2.0000,0.0000,-0.0133,-1.8996,0.8072,-0.2670
28427219895261.0000,0.0000,0.0000,2.0000,0.0000,-0.0151,-1.8978,0.8092,-0.2645
30203921139564.0000,0.0000,0.0000,2.0000,0.0000,-0.0169,-1.8962,0.8117,-0.2428
31980622383977.0000,0.0000,0.0000,2.0000,0.0000,-0.0182,-1.8940,0.8151,-0.2161
33757323628480.0000,0.0000,0.0000,2.0000,0.0000,-0.0231,-1.8863,0.8283,-0.1906
35534024873087.0000,0.0000,0.0000,2.0000,0.0000,-0.0296,-1.8757,0.8428,-0.1663
37310726117794.0000,0.0000,0.0000,2.0000,0.0000,-0.0385,-1.8615,0.8582,-0.1552
39087427362598.0000,0.0000,0.0000,2.0000,0.0000,-0.0494,-1.8443,0.8741,-0.1419
40864128607505.0000,0.0000,0.0000,2.0000,0.0000,-0.0598,-1.8282,0.8872,-0.1408
42640829852512.0000,0.0000,0.0000,2.0000,0.0000,-0.0754,-1.8047,0.9045,-0.1236
44417531097623.0000,0.0000,0.0000,2.0000,0.0000,-0.0965,-1.7722,0.9260,-0.0757
46194232342832.0000,0.0000,0.0000,2.0000,0.0000,-0.1125,-1.7458,0.9428,-0.1038
47970933588146.0000,0.0000,0.0000,2.0000,0.0000,-0.1307,-1.7154,0.9603,-0.0983
49747634833564.0000,0.0000,0.0000,2.0000,0.0000,-0.1484,-1.6822,0.9786,-0.0889
51524336079082.0000,0.0000,0.0000,2.0000,0.0000,-0.1633,-1.6494,0.9951,-0.0806
53301037324706.0000,0.0000,0.0000,2.0000,0.0000,-0.1767,-1.6146,1.0120,-0.0717
55077738570435.0000,0.0000,0.0000,2.0000,0.0000,-0.1876,-1.5789,1.0287,-0.0646
56854439816263.0000,0.0000,0.0000,2.0000,0.0000,-0.1953,-1.5470,1.0434,-0.0562
58631141062192.0000,0.0000,0.0000,2.0000,0.0000,-0.2012,-1.5079,1.0603,-0.0544
60407842308223.0000,0.0000,0.0000,2.0000,0.0000,-0.2025,-1.4723,1.0757,-0.0509
62184543554357.0000,0.0000,0.0000,2.0000,0.0000,-0.2000,-1.4351,1.0912,-0.0457
63961244800591.0000,0.0000,0.0000,2.0000,0.0000,-0.1930,-1.3988,1.1061,-0.0452
65737946046899.0000,0.0000,0.0000,2.0000,0.0000,-0.1815,-1.3623,1.1218,-0.0428
67514647293307.0000,0.0000,0.0000,2.0000,0.0000,-0.1655,-1.3253,1.1375,-0.0404
69291348539819.0000,0.0000,0.0000,2.0000,0.0000,-0.1445,-1.2867,1.1544,-0.0403
71068049786427.0000,0.0000,0.0000,2.0000,0.0000,-0.1215,-1.2508,1.1702,-0.0420
72844751033139.0000,0.0000,0.0000,2.0000,0.0000,-0.0944,-1.2118,1.1868,-0.0384
