time,target_x,target_y,target_z,target_yaw,x,y,z,yaw
1777305979.2055,0.0000,0.0000,2.0000,0.0000,0.5393,0.4227,0.9110,0.0678
1777305979.3059,0.0000,0.0000,2.0000,0.0000,0.5405,0.4209,0.9125,0.0729
1777305979.4060,0.0000,0.0000,2.0000,0.0000,0.5424,0.4189,0.9145,0.0695
1777305979.5115,0.0000,0.0000,2.0000,0.0000,0.5438,0.4180,0.9155,0.0694
1777305979.6188,0.0000,0.0000,2.0000,0.0000,0.5445,0.4171,0.9159,0.0719
1777305979.7149,0.0000,0.0000,2.0000,0.0000,0.5456,0.4165,0.9169,0.0672
1777305979.8119,0.0000,0.0000,2.0000,0.0000,0.5465,0.4164,0.9176,0.0651
1777305979.9176,0.0000,0.0000,2.0000,0.0000,0.5478,0.4161,0.9190,0.0662
1777305980.0227,0.0000,0.0000,2.0000,0.0000,0.5490,0.4163,0.9198,0.0725
1777305980.1290,0.0000,0.0000,2.0000,0.0000,0.5492,0.4166,0.9200,0.0693
1777305980.2298,0.0000,0.0000,2.0000,0.0000,0.5509,0.4174,0.9216,0.0663
1777305980.3095,0.0000,0.0000,2.0000,0.0000,0.5528,0.4180,0.9233,0.0750
1777305980.4269,0.0000,0.0000,2.0000,0.0000,0.5538,0.4186,0.9239,0.0695
1777305980.5403,0.0000,0.0000,2.0000,0.0000,0.5546,0.4190,0.9248,0.0656
1777305980.6177,0.0000,0.0000,2.0000,0.0000,0.5557,0.4189,0.9264,0.0656
1777305980.7201,0.0000,0.0000,2.0000,0.0000,0.5561,0.4186,0.9276,0.0641
1777305980.8226,0.0000,0.0000,2.0000,0.0000,0.5565,0.4181,0.9287,0.0628
1777305980.9130,0.0000,0.0000,2.0000,0.0000,0.5545,0.4150,0.9334,0.0493
1777305981.0147,0.0000,0.0000,2.0000,0.0000,0.5491,0.4078,0.9470,0.0414
1777305981.1139,0.0000,0.0000,2.0000,0.0000,0.5370,0.3950,0.9672,0.0282
1777305981.2146,0.0000,0.0000,2.0000,0.0000,0.5178,0.3748,0.9939,0.0273
1777305981.3134,0.0000,0.0000,2.0000,0.0000,0.4907,0.3478,1.0245,0.0275
1777305981.4274,0.0000,0.0000,2.0000,0.0000,0.4565,0.3152,1.0582,0.0291
1777305981.5163,0.0000,0.0000,2.0000,0.0000,0.4206,0.2805,1.0912,0.0372
1777305981.6178,0.0000,0.0000,2.0000,0.0000,0.3704,0.2314,1.1333,0.0393
1777305981.7134,0.0000,0.0000,2.0000,0.0000,0.3190,0.1812,1.1716,0.0488
1777305981.8170,0.0000,0.0000,2.0000,0.0000,0.2639,0.1275,1.2106,0.0484
1777305981.9193,0.0000,0.0000,2.0000,0.0000,0.2063,0.0738,1.2504,0.0545
1777305982.0173,0.0000,0.0000,2.0000,0.0000,0.1473,0.0231,1.2913,0.0547
1777305982.1261,0.0000,0.0000,2.0000,0.0000,0.0832,-0.0247,1.3369,0.0607
1777305982.2148,0.0000,0.0000,2.0000,0.0000,0.0340,-0.0546,1.3743,0.0676
1777305982.3153,0.0000,0.0000,2.0000,0.0000,-0.0143,-0.0784,1.4170,0.0712
1777305982.4249,0.0000,0.0000,2.0000,0.0000,-0.0575,-0.0917,1.4630,0.0755
1777305982.5241,0.0000,0.0000,2.0000,0.0000,-0.0866,-0.0931,1.5042,0.0820
1777305982.6241,0.0000,0.0000,2.0000,0.0000,-0.1056,-0.0857,1.5443,0.0833
1777305982.7251,1.0000,1.0000,3.0000,-1.5000,-0.1140,-0.0710,1.5842,0.0839
1777305982.8256,1.0000,1.0000,3.0000,-1.5000,-0.1120,-0.0496,1.6226,0.0717
1777305982.9239,1.0000,1.0000,3.0000,-1.5000,-0.0998,-0.0214,1.6587,0.0157
1777305983.0267,1.0000,1.0000,3.0000,-1.5000,-0.0769,0.0118,1.6947,-0.0356
1777305983.1241,1.0000,1.0000,3.0000,-1.5000,-0.0439,0.0508,1.7304,-0.0915
1777305983.2243,1.0000,1.0000,3.0000,-1.5000,-0.0019,0.0950,1.7657,-0.1418
1777305983.3358,1.0000,1.0000,3.0000,-1.5000,0.0499,0.1443,1.8007,-0.2097
