time,target_x,target_y,target_z,target_yaw,x,y,z,yaw
1777306254.6071,0.0000,0.0000,2.0000,0.0000,-0.8995,-0.2435,0.8697,0.1553
1777306254.7165,0.0000,0.0000,2.0000,0.0000,-0.8994,-0.2402,0.8712,0.1575
1777306254.8133,0.0000,0.0000,2.0000,0.0000,-0.8998,-0.2370,0.8733,0.1561
1777306254.9134,0.0000,0.0000,2.0000,0.0000,-0.9003,-0.2341,0.8749,0.1559
1777306255.0138,0.0000,0.0000,2.0000,0.0000,-0.9011,-0.2309,0.8768,0.1610
1777306255.1133,0.0000,0.0000,2.0000,0.0000,-0.9021,-0.2281,0.8783,0.1488
1777306255.2126,0.0000,0.0000,2.0000,0.0000,-0.9032,-0.2258,0.8795,0.1572
1777306255.3141,0.0000,0.0000,2.0000,0.0000,-0.9038,-0.2236,0.8800,0.1574
1777306255.4132,0.0000,0.0000,2.0000,0.0000,-0.9042,-0.2217,0.8797,0.1535
1777306255.5132,0.0000,0.0000,2.0000,0.0000,-0.9047,-0.2194,0.8784,0.1502
1777306255.6154,0.0000,0.0000,2.0000,0.0000,-0.9047,-0.2178,0.8763,0.1540
1777306255.7138,0.0000,0.0000,2.0000,0.0000,-0.9041,-0.2162,0.8742,0.1471
1777306255.8138,0.0000,0.0000,2.0000,0.0000,-0.9040,-0.2148,0.8719,0.1517
1777306255.9148,0.0000,0.0000,2.0000,0.0000,-0.9037,-0.2136,0.8698,0.1568
1777306256.0129,0.0000,0.0000,2.0000,0.0000,-0.9032,-0.2125,0.8679,0.1550
1777306256.1128,0.0000,0.0000,2.0000,0.0000,-0.9022,-0.2108,0.8663,0.1441
1777306256.2138,0.0000,0.0000,2.0000,0.0000,-0.8989,-0.2091,0.8718,0.1322
1777306256.3137,0.0000,0.0000,2.0000,0.0000,-0.8916,-0.2059,0.8862,0.1211
1777306256.4129,0.0000,0.0000,2.0000,0.0000,-0.8784,-0.2001,0.9081,0.1030
1777306256.5139,0.0000,0.0000,2.0000,0.0000,-0.8574,-0.1919,0.9365,0.0852
1777306256.6131,0.0000,0.0000,2.0000,0.0000,-0.8308,-0.1811,0.9690,0.0706
1777306256.7142,0.0000,0.0000,2.0000,0.0000,-0.8079,-0.1722,0.9940,0.0546
1777306256.8131,0.0000,0.0000,2.0000,0.0000,-0.7579,-0.1532,1.0444,0.0268
1777306256.9240,0.0000,0.0000,2.0000,0.0000,-0.7089,-0.1362,1.0881,0.0222
1777306257.0244,0.0000,0.0000,2.0000,0.0000,-0.6587,-0.1202,1.1279,0.0079
1777306257.1146,0.0000,0.0000,2.0000,0.0000,-0.6147,-0.1082,1.1597,0.0043
1777306257.2190,0.0000,0.0000,2.0000,0.0000,-0.5560,-0.0928,1.1992,-0.0059
1777306257.3223,0.0000,0.0000,2.0000,0.0000,-0.4929,-0.0779,1.2387,-0.0152
1777306257.4230,0.0000,0.0000,2.0000,0.0000,-0.4120,-0.0613,1.2850,-0.0208
1777306257.5240,0.0000,0.0000,2.0000,0.0000,-0.3417,-0.0490,1.3230,-0.0298
