time,target_x,target_y,target_z,target_yaw,x,y,z,yaw
1777306454.1278,0.0000,0.0000,2.0000,0.0000,0.1430,0.7205,0.9495,0.2122
1777306454.2268,0.0000,0.0000,2.0000,0.0000,0.1441,0.7209,0.9530,0.2125
1777306454.3259,0.0000,0.0000,2.0000,0.0000,0.1454,0.7212,0.9572,0.2183
1777306454.4263,0.0000,0.0000,2.0000,0.0000,0.1457,0.7218,0.9596,0.2175
1777306454.5475,0.0000,0.0000,2.0000,0.0000,0.1455,0.7224,0.9622,0.2128
1777306454.6300,0.0000,0.0000,2.0000,0.0000,0.1448,0.7236,0.9642,0.2098
1777306454.7299,0.0000,0.0000,2.0000,0.0000,0.1437,0.7247,0.9666,0.2135
1777306454.8354,0.0000,0.0000,2.0000,0.0000,0.1418,0.7268,0.9679,0.2144
1777306454.9261,0.0000,0.0000,2.0000,0.0000,0.1401,0.7285,0.9688,0.2066
1777306455.0561,0.0000,0.0000,2.0000,0.0000,0.1378,0.7301,0.9697,0.2104
1777306455.1343,0.0000,0.0000,2.0000,0.0000,0.1355,0.7310,0.9701,0.2104
1777306455.2347,0.0000,0.0000,2.0000,0.0000,0.1334,0.7319,0.9703,0.2121
1777306455.3289,0.0000,0.0000,2.0000,0.0000,0.1318,0.7319,0.9711,0.1973
1777306455.4351,0.0000,0.0000,2.0000,0.0000,0.1287,0.7289,0.9798,0.1756
1777306455.5348,0.0000,0.0000,2.0000,0.0000,0.1234,0.7206,0.9960,0.1590
1777306455.6372,0.0000,0.0000,2.0000,0.0000,0.1156,0.7051,1.0191,0.1411
1777306455.7376,0.0000,0.0000,2.0000,0.0000,0.1049,0.6820,1.0489,0.1252
1777306455.8347,0.0000,0.0000,2.0000,0.0000,0.0913,0.6519,1.0823,0.1169
1777306455.9378,0.0000,0.0000,2.0000,0.0000,0.0764,0.6156,1.1188,0.1066
1777306456.0356,0.0000,0.0000,2.0000,0.0000,0.0608,0.5736,1.1576,0.0904
1777306456.1345,0.0000,0.0000,2.0000,0.0000,0.0450,0.5274,1.1975,0.0776
1777306456.2358,0.0000,0.0000,2.0000,0.0000,0.0299,0.4762,1.2387,0.0737
1777306456.3349,0.0000,0.0000,2.0000,0.0000,0.0148,0.4211,1.2788,0.0644
1777306456.4349,0.0000,0.0000,2.0000,0.0000,0.0001,0.3617,1.3181,0.0558
1777306456.5338,0.0000,0.0000,2.0000,0.0000,-0.0131,0.2996,1.3576,0.0515
1777306456.6427,0.0000,0.0000,2.0000,0.0000,-0.0260,0.2359,1.3956,0.0502
1777306456.7338,0.0000,0.0000,2.0000,0.0000,-0.0372,0.1714,1.4329,0.0512
1777306456.8308,0.0000,0.0000,2.0000,0.0000,-0.0465,0.1149,1.4654,0.0522
1777306456.9342,0.0000,0.0000,2.0000,0.0000,-0.0561,0.0496,1.5045,0.0486
1777306457.0340,0.0000,0.0000,2.0000,0.0000,-0.0633,-0.0042,1.5394,0.0473
1777306457.1331,1.0000,1.0000,3.0000,-1.5000,-0.0693,-0.0515,1.5746,0.0506
1777306457.2337,1.0000,1.0000,3.0000,-1.5000,-0.0726,-0.0911,1.6103,0.0265
1777306457.3341,1.0000,1.0000,3.0000,-1.5000,-0.0714,-0.1202,1.6448,-0.0285
1777306457.4336,1.0000,1.0000,3.0000,-1.5000,-0.0648,-0.1400,1.6794,-0.0812
1777306457.5340,1.0000,1.0000,3.0000,-1.5000,-0.0503,-0.1486,1.7146,-0.1408
1777306457.6337,1.0000,1.0000,3.0000,-1.5000,-0.0270,-0.1465,1.7506,-0.1986
1777306457.7345,1.0000,1.0000,3.0000,-1.5000,0.0048,-0.1348,1.7870,-0.2593
1777306457.8333,1.0000,1.0000,3.0000,-1.5000,0.0455,-0.1146,1.8237,-0.3203
1777306457.9371,1.0000,1.0000,3.0000,-1.5000,0.0949,-0.0873,1.8606,-0.3733
1777306458.0357,1.0000,1.0000,3.0000,-1.5000,0.1536,-0.0533,1.8971,-0.4321
1777306458.1383,1.0000,1.0000,3.0000,-1.5000,0.2212,-0.0146,1.9330,-0.4956
1777306458.2455,1.0000,1.0000,3.0000,-1.5000,0.3065,0.0332,1.9715,-0.5576
1777306458.3454,1.0000,1.0000,3.0000,-1.5000,0.3925,0.0811,2.0050,-0.6182
1777306458.4468,1.0000,1.0000,3.0000,-1.5000,0.4870,0.1336,2.0386,-0.6733
1777306458.5399,1.0000,1.0000,3.0000,-1.5000,0.5759,0.1857,2.0679,-0.7254
1777306458.6408,1.0000,1.0000,3.0000,-1.5000,0.6766,0.2494,2.0998,-0.7860
1777306458.7693,1.0000,1.0000,3.0000,-1.5000,0.7862,0.3267,2.1342,-0.8525
1777306458.8476,1.0000,1.0000,3.0000,-1.5000,0.8814,0.4038,2.1639,-0.9135
1777306458.9389,1.0000,1.0000,3.0000,-1.5000,0.9626,0.4794,2.1900,-0.9724
