time,target_x,target_y,target_z,target_yaw,x,y,z,yaw
1777307024.0811,0.0000,0.0000,2.0000,0.0000,0.5660,2.9832,0.8175,-0.0487
1777307024.1740,0.0000,0.0000,2.0000,0.0000,0.5733,2.9823,0.8271,-0.0393
1777307024.2777,0.0000,0.0000,2.0000,0.0000,0.5573,2.9839,0.8164,-0.0435
1777307024.3739,0.0000,0.0000,2.0000,0.0000,0.5573,2.9839,0.8164,-0.0435
1777307024.4741,0.0000,0.0000,2.0000,0.0000,0.5573,2.9839,0.8164,-0.0435
1777307024.5752,0.0000,0.0000,2.0000,0.0000,0.5573,2.9839,0.8164,-0.0435
1777307024.6767,0.0000,0.0000,2.0000,0.0000,0.5573,2.9839,0.8164,-0.0435
1777307024.7742,0.0000,0.0000,2.0000,0.0000,0.4910,2.7632,1.1852,-0.0345
1777307024.8748,0.0000,0.0000,2.0000,0.0000,0.4332,2.6797,1.2775,-0.0246
1777307024.9736,0.0000,0.0000,2.0000,0.0000,0.2789,2.6002,1.2740,-0.0365
1777307025.0733,0.0000,0.0000,2.0000,0.0000,0.3034,2.4776,1.4466,-0.0351
1777307025.1733,0.0000,0.0000,2.0000,0.0000,0.2381,2.3560,1.5281,-0.0457
1777307025.2746,0.0000,0.0000,2.0000,0.0000,0.1752,2.2222,1.5984,-0.0394
1777307025.3736,0.0000,0.0000,2.0000,0.0000,0.1167,2.0769,1.6543,-0.0406
1777307025.4735,0.0000,0.0000,2.0000,0.0000,0.0624,1.9197,1.6954,-0.0274
1777307025.5738,0.0000,0.0000,2.0000,0.0000,0.0132,1.7515,1.7236,-0.0208
1777307025.6734,0.0000,0.0000,2.0000,0.0000,-0.0291,1.5716,1.7413,-0.0272
1777307025.7742,0.0000,0.0000,2.0000,0.0000,-0.0641,1.3806,1.7515,-0.0289
1777307025.8740,0.0000,0.0000,2.0000,0.0000,-0.0920,1.1790,1.7567,-0.0251
1777307025.9739,0.0000,0.0000,2.0000,0.0000,-0.1128,0.9670,1.7593,-0.0279
1777307026.0747,0.0000,0.0000,2.0000,0.0000,-0.1253,0.7500,1.7614,-0.0214
1777307026.1858,0.0000,0.0000,2.0000,0.0000,-0.1317,0.5118,1.7625,-0.0370
1777307026.2854,0.0000,0.0000,2.0000,0.0000,-0.1310,0.3041,1.7628,-0.0222
1777307026.3855,0.0000,0.0000,2.0000,0.0000,-0.1263,0.1140,1.7611,-0.0268
1777307026.4756,0.0000,0.0000,2.0000,0.0000,-0.1179,-0.0347,1.7601,-0.0277
1777307026.5853,0.0000,0.0000,2.0000,0.0000,-0.1044,-0.1793,1.7591,-0.0290
1777307026.6853,0.0000,0.0000,2.0000,0.0000,-0.0885,-0.2707,1.7600,-0.0270
1777307026.7839,0.0000,0.0000,2.0000,0.0000,-0.0698,-0.3200,1.7628,-0.0273
1777307026.8843,0.0000,0.0000,2.0000,0.0000,-0.0485,-0.3285,1.7690,-0.0312
1777307026.9856,0.0000,0.0000,2.0000,0.0000,-0.0259,-0.3015,1.7799,-0.0335
1777307027.0769,0.0000,0.0000,2.0000,0.0000,-0.0051,-0.2572,1.7924,-0.0347
1777307027.1845,0.0000,0.0000,2.0000,0.0000,0.0189,-0.1829,1.8042,-0.0372
1777307027.2840,0.0000,0.0000,2.0000,0.0000,0.0388,-0.1052,1.8130,-0.0379
1777307027.3857,0.0000,0.0000,2.0000,0.0000,0.0560,-0.0230,1.8224,-0.0362
1777307027.4870,0.0000,0.0000,2.0000,0.0000,0.0697,0.0593,1.8303,-0.0356
1777307027.5828,0.0000,0.0000,2.0000,0.0000,0.0793,0.1270,1.8359,-0.0351
1777307027.6851,0.0000,0.0000,2.0000,0.0000,0.0867,0.1898,1.8408,-0.0269
1777307027.7866,0.0000,0.0000,2.0000,0.0000,0.0912,0.2383,1.8460,-0.0308
1777307027.9096,0.0000,0.0000,2.0000,0.0000,0.0925,0.2761,1.8530,-0.0308
1777307027.9984,0.0000,0.0000,2.0000,0.0000,0.0911,0.2912,1.8600,-0.0315
1777307028.0931,0.0000,0.0000,2.0000,0.0000,0.0878,0.2929,1.8668,-0.0317
1777307028.1936,0.0000,0.0000,2.0000,0.0000,0.0828,0.2824,1.8748,-0.0331
1777307028.2808,0.0000,0.0000,2.0000,0.0000,0.0764,0.2623,1.8818,-0.0331
1777307028.4043,0.0000,0.0000,2.0000,0.0000,0.0659,0.2207,1.8917,-0.0336
1777307028.4864,0.0000,0.0000,2.0000,0.0000,0.0565,0.1789,1.8985,-0.0348
1777307028.5882,0.0000,0.0000,2.0000,0.0000,0.0452,0.1251,1.9060,-0.0341
1777307028.6844,0.0000,0.0000,2.0000,0.0000,0.0338,0.0675,1.9130,-0.0316
