time,target_x,target_y,target_z,target_yaw,x,y,z,yaw
1777306704.3138,0.0000,0.0000,2.0000,0.0000,0.6007,1.3488,0.8853,0.1096
1777306704.4155,0.0000,0.0000,2.0000,0.0000,0.6010,1.3517,0.8863,0.1105
1777306704.5133,0.0000,0.0000,2.0000,0.0000,0.6013,1.3543,0.8870,0.1111
1777306704.6149,0.0000,0.0000,2.0000,0.0000,0.6019,1.3568,0.8878,0.1099
1777306704.7171,0.0000,0.0000,2.0000,0.0000,0.6026,1.3589,0.8879,0.1150
1777306704.8131,0.0000,0.0000,2.0000,0.0000,0.6040,1.3610,0.8884,0.1068
1777306704.9128,0.0000,0.0000,2.0000,0.0000,0.6048,1.3632,0.8880,0.1141
1777306705.0202,0.0000,0.0000,2.0000,0.0000,0.6056,1.3654,0.8873,0.1113
1777306705.1281,0.0000,0.0000,2.0000,0.0000,0.6067,1.3678,0.8867,0.1104
1777306705.2211,0.0000,0.0000,2.0000,0.0000,0.6082,1.3701,0.8874,0.1110
1777306705.3257,0.0000,0.0000,2.0000,0.0000,0.6087,1.3719,0.8889,0.1122
1777306705.4272,0.0000,0.0000,2.0000,0.0000,0.6067,1.3709,0.8975,0.1030
1777306705.5284,0.0000,0.0000,2.0000,0.0000,0.6001,1.3657,0.9133,0.1031
1777306705.6308,0.0000,0.0000,2.0000,0.0000,0.5870,1.3538,0.9358,0.1008
1777306705.7149,0.0000,0.0000,2.0000,0.0000,0.5675,1.3340,0.9646,0.1003
1777306705.8377,0.0000,0.0000,2.0000,0.0000,0.5343,1.3013,1.0032,0.0966
1777306705.9393,0.0000,0.0000,2.0000,0.0000,0.5040,1.2702,1.0348,0.0928
1777306706.0404,0.0000,0.0000,2.0000,0.0000,0.4650,1.2297,1.0714,0.0908
1777306706.1270,0.0000,0.0000,2.0000,0.0000,0.4222,1.1837,1.1106,0.0818
1777306706.2169,0.0000,0.0000,2.0000,0.0000,0.3793,1.1386,1.1462,0.0788
1777306706.3185,0.0000,0.0000,2.0000,0.0000,0.3275,1.0851,1.1859,0.0769
1777306706.4240,0.0000,0.0000,2.0000,0.0000,0.2660,1.0224,1.2298,0.0733
1777306706.5172,0.0000,0.0000,2.0000,0.0000,0.2133,0.9691,1.2659,0.0755
1777306706.6265,0.0000,0.0000,2.0000,0.0000,0.1453,0.9011,1.3109,0.0690
1777306706.7237,0.0000,0.0000,2.0000,0.0000,0.0806,0.8373,1.3511,0.0662
1777306706.8243,0.0000,0.0000,2.0000,0.0000,0.0154,0.7716,1.3914,0.0628
1777306706.9263,0.0000,0.0000,2.0000,0.0000,-0.0498,0.7037,1.4305,0.0570
1777306707.0232,0.0000,0.0000,2.0000,0.0000,-0.1123,0.6333,1.4689,0.0673
1777306707.1263,0.0000,0.0000,2.0000,0.0000,-0.1692,0.5614,1.5062,0.0614
1777306707.2278,0.0000,0.0000,2.0000,0.0000,-0.2195,0.4877,1.5428,0.0591
1777306707.3240,0.0000,0.0000,2.0000,0.0000,-0.2619,0.4125,1.5796,0.0553
1777306707.4241,0.0000,0.0000,2.0000,0.0000,-0.2955,0.3357,1.6157,0.0497
1777306707.5234,0.0000,0.0000,2.0000,0.0000,-0.3194,0.2577,1.6515,0.0536
1777306707.6246,0.0000,0.0000,2.0000,0.0000,-0.3326,0.1783,1.6862,0.0490
1777306707.7239,1.0000,1.0000,3.0000,-1.5000,-0.3345,0.0985,1.7201,0.0426
1777306707.8231,1.0000,1.0000,3.0000,-1.5000,-0.3245,0.0196,1.7532,0.0249
1777306707.9232,1.0000,1.0000,3.0000,-1.5000,-0.3029,-0.0527,1.7841,-0.0163
1777306708.0231,1.0000,1.0000,3.0000,-1.5000,-0.2711,-0.1165,1.8145,-0.0765
1777306708.1232,1.0000,1.0000,3.0000,-1.5000,-0.2298,-0.1674,1.8452,-0.1322
1777306708.2231,1.0000,1.0000,3.0000,-1.5000,-0.1807,-0.2042,1.8755,-0.1939
1777306708.3237,1.0000,1.0000,3.0000,-1.5000,-0.1240,-0.2268,1.9052,-0.2538
1777306708.4232,1.0000,1.0000,3.0000,-1.5000,-0.0590,-0.2365,1.9348,-0.3169
1777306708.5230,1.0000,1.0000,3.0000,-1.5000,0.0140,-0.2339,1.9636,-0.3746
1777306708.6232,1.0000,1.0000,3.0000,-1.5000,0.0951,-0.2205,1.9921,-0.4359
1777306708.7287,1.0000,1.0000,3.0000,-1.5000,0.1848,-0.1976,2.0205,-0.4927
1777306708.8232,1.0000,1.0000,3.0000,-1.5000,0.2830,-0.1666,2.0486,-0.5567
1777306708.9229,1.0000,1.0000,3.0000,-1.5000,0.3891,-0.1290,2.0758,-0.6127
1777306709.0233,1.0000,1.0000,3.0000,-1.5000,0.5020,-0.0844,2.1020,-0.6717
1777306709.1234,1.0000,1.0000,3.0000,-1.5000,0.6067,-0.0378,2.1257,-0.7244
1777306709.2242,1.0000,1.0000,3.0000,-1.5000,0.7228,0.0233,2.1517,-0.7833
1777306709.3255,1.0000,1.0000,3.0000,-1.5000,0.8447,0.1033,2.1790,-0.8570
1777306709.4356,1.0000,1.0000,3.0000,-1.5000,0.9567,0.1965,2.2062,-0.9198
1777306709.5437,1.0000,1.0000,3.0000,-1.5000,1.0413,0.2825,2.2291,-0.9725
1777306709.6340,1.0000,1.0000,3.0000,-1.5000,1.1357,0.3990,2.2568,-1.0374
1777306709.7280,1.0000,1.0000,3.0000,-1.5000,1.1996,0.4907,2.2780,-1.0779
1777306709.8277,1.0000,1.0000,3.0000,-1.5000,1.2661,0.5998,2.3028,-1.1172
1777306709.9352,1.0000,1.0000,3.0000,-1.5000,1.3456,0.7522,2.3371,-1.1637
1777306710.0287,1.0000,1.0000,3.0000,-1.5000,1.3971,0.8684,2.3632,-1.1921
1777306710.1350,1.0000,1.0000,3.0000,-1.5000,1.4475,1.0096,2.3951,-1.2210
1777306710.2294,1.0000,1.0000,3.0000,-1.5000,1.4784,1.1343,2.4236,-1.2451
1777306710.3343,1.0000,1.0000,3.0000,-1.5000,1.4962,1.2640,2.4560,-1.2643
1777306710.4267,1.0000,1.0000,3.0000,-1.5000,1.4976,1.3623,2.4821,-1.2721
1777306710.5280,1.0000,1.0000,3.0000,-1.5000,1.4874,1.4605,2.5122,-1.2863
1777306710.6596,1.0000,1.0000,3.0000,-1.5000,1.4590,1.5681,2.5517,-1.2998
1777306710.7347,1.0000,1.0000,3.0000,-1.5000,1.4344,1.6225,2.5762,-1.3073
1777306710.8378,1.0000,1.0000,3.0000,-1.5000,1.3975,1.6775,2.6078,-1.3219
1777306710.9291,1.0000,1.0000,3.0000,-1.5000,1.3596,1.7137,2.6363,-1.3232
1777306711.0343,1.0000,1.0000,3.0000,-1.5000,1.3087,1.7422,2.6721,-1.3331
1777306711.1616,1.0000,1.0000,3.0000,-1.5000,1.2598,1.7539,2.7052,-1.3570
1777306711.2338,1.0000,1.0000,3.0000,-1.5000,1.2068,1.7524,2.7379,-1.3601
1777306711.3338,1.0000,1.0000,3.0000,-1.5000,1.1529,1.7389,2.7716,-1.3719
1777306711.4332,1.0000,1.0000,3.0000,-1.5000,1.0964,1.7143,2.8029,-1.3853
1777306711.5338,1.0000,1.0000,3.0000,-1.5000,1.0390,1.6798,2.8317,-1.3993
1777306711.6335,1.0000,1.0000,3.0000,-1.5000,0.9812,1.6356,2.8571,-1.4069
1777306711.7337,1.0000,1.0000,3.0000,-1.5000,0.9222,1.5827,2.8765,-1.4028
1777306711.8343,1.0000,1.0000,3.0000,-1.5000,0.8663,1.5210,2.8923,-1.4121
1777306711.9332,1.0000,1.0000,3.0000,-1.5000,0.8139,1.4510,2.9031,-1.4157
1777306712.0329,-1.0000,-1.0000,3.0000,-1.5000,0.7682,1.3731,2.9102,-1.4233
1777306712.1333,-1.0000,-1.0000,3.0000,-1.5000,0.7309,1.2885,2.9139,-1.4211
1777306712.2340,-1.0000,-1.0000,3.0000,-1.5000,0.7018,1.1968,2.9167,-1.4218
1777306712.3339,-1.0000,-1.0000,3.0000,-1.5000,0.6761,1.1001,2.9174,-1.4273
1777306712.4330,-1.0000,-1.0000,3.0000,-1.5000,0.6496,0.9994,2.9165,-1.4319
1777306712.5332,-1.0000,-1.0000,3.0000,-1.5000,0.6181,0.8955,2.9154,-1.4321
1777306712.6358,-1.0000,-1.0000,3.0000,-1.5000,0.5795,0.7896,2.9144,-1.4435
1777306712.7343,-1.0000,-1.0000,3.0000,-1.5000,0.5338,0.6816,2.9138,-1.4475
1777306712.8331,-1.0000,-1.0000,3.0000,-1.5000,0.4819,0.5719,2.9136,-1.4489
1777306712.9438,-1.0000,-1.0000,3.0000,-1.5000,0.4177,0.4501,2.9137,-1.4569
1777306713.0361,-1.0000,-1.0000,3.0000,-1.5000,0.3604,0.3492,2.9145,-1.4581
1777306713.1340,-1.0000,-1.0000,3.0000,-1.5000,0.2919,0.2363,2.9152,-1.4501
1777306713.2440,-1.0000,-1.0000,3.0000,-1.5000,0.2117,0.1112,2.9163,-1.4547
1777306713.3442,-1.0000,-1.0000,3.0000,-1.5000,0.1351,-0.0030,2.9177,-1.4573
1777306713.4355,-1.0000,-1.0000,3.0000,-1.5000,0.0630,-0.1061,2.9188,-1.4601
1777306713.5482,-1.0000,-1.0000,3.0000,-1.5000,-0.0113,-0.2090,2.9198,-1.4574
1777306713.6440,-1.0000,-1.0000,3.0000,-1.5000,-0.1134,-0.3461,2.9205,-1.4655
1777306713.7446,-1.0000,-1.0000,3.0000,-1.5000,-0.2005,-0.4601,2.9211,-1.4610
1777306713.8441,-1.0000,-1.0000,3.0000,-1.5000,-0.2900,-0.5738,2.9217,-1.4551
1777306713.9436,-1.0000,-1.0000,3.0000,-1.5000,-0.3814,-0.6872,2.9220,-1.4588
1777306714.0366,-1.0000,-1.0000,3.0000,-1.5000,-0.4646,-0.7891,2.9224,-1.4651
1777306714.1440,-1.0000,-1.0000,3.0000,-1.5000,-0.5682,-0.9130,2.9227,-1.4608
1777306714.2471,0.0000,0.0000,1.0000,-3.1000,-0.6636,-1.0224,2.9230,-1.4632
1777306714.3439,0.0000,0.0000,1.0000,-3.1000,-0.7592,-1.1260,2.9229,-1.4770
1777306714.4410,0.0000,0.0000,1.0000,-3.1000,-0.8397,-1.2104,2.9161,-1.5342
1777306714.5482,0.0000,0.0000,1.0000,-3.1000,-0.9292,-1.2996,2.8978,-1.6022
1777306714.6435,0.0000,0.0000,1.0000,-3.1000,-0.9915,-1.3589,2.8779,-1.6570
1777306714.7467,0.0000,0.0000,1.0000,-3.1000,-1.0463,-1.4104,2.8513,-1.7158
1777306714.8493,0.0000,0.0000,1.0000,-3.1000,-1.0891,-1.4510,2.8175,-1.7828
1777306714.9532,0.0000,0.0000,1.0000,-3.1000,-1.1126,-1.4751,2.7841,-1.8425
1777306715.0526,0.0000,0.0000,1.0000,-3.1000,-1.1217,-1.4880,2.7491,-1.8995
1777306715.1531,0.0000,0.0000,1.0000,-3.1000,-1.1169,-1.4914,2.7128,-1.9599
1777306715.2397,0.0000,0.0000,1.0000,-3.1000,-1.1011,-1.4868,2.6791,-2.0134
1777306715.3592,0.0000,0.0000,1.0000,-3.1000,-1.0672,-1.4728,2.6372,-2.0777
1777306715.4459,0.0000,0.0000,1.0000,-3.1000,-1.0228,-1.4535,2.5987,-2.1388
1777306715.5463,0.0000,0.0000,1.0000,-3.1000,-0.9664,-1.4287,2.5596,-2.1940
1777306715.6476,0.0000,0.0000,1.0000,-3.1000,-0.8984,-1.3985,2.5208,-2.2503
1777306715.7441,0.0000,0.0000,1.0000,-3.1000,-0.8200,-1.3631,2.4830,-2.3117
1777306715.8432,0.0000,0.0000,1.0000,-3.1000,-0.7328,-1.3208,2.4464,-2.3737
1777306715.9434,0.0000,0.0000,1.0000,-3.1000,-0.6417,-1.2688,2.4115,-2.4202
1777306716.0432,0.0000,0.0000,1.0000,-3.1000,-0.5506,-1.2068,2.3777,-2.4726
1777306716.1433,0.0000,0.0000,1.0000,-3.1000,-0.4629,-1.1333,2.3434,-2.5337
1777306716.2446,0.0000,0.0000,1.0000,-3.1000,-0.3812,-1.0486,2.3093,-2.5886
1777306716.3507,0.0000,0.0000,1.0000,-3.1000,-0.3044,-0.9535,2.2760,-2.6418
1777306716.4445,0.0000,0.0000,1.0000,-3.1000,-0.2322,-0.8495,2.2435,-2.6877
1777306716.5469,0.0000,0.0000,1.0000,-3.1000,-0.1624,-0.7377,2.2121,-2.7329
1777306716.6434,0.0000,0.0000,1.0000,-3.1000,-0.0938,-0.6202,2.1815,-2.7671
1777306716.7437,0.0000,0.0000,1.0000,-3.1000,-0.0253,-0.4983,2.1512,-2.7958
1777306716.8438,0.0000,0.0000,1.0000,-3.1000,0.0440,-0.3731,2.1220,-2.8250
1777306716.9544,0.0000,0.0000,1.0000,-3.1000,0.1194,-0.2337,2.0909,-2.8563
