time,target_x,target_y,target_z,target_yaw,x,y,z,yaw
1777305872.8430,0.0000,0.0000,2.0000,0.0000,0.9282,1.5500,0.8922,0.1500
1777305872.9428,0.0000,0.0000,2.0000,0.0000,0.9292,1.5486,0.8949,0.1494
1777305873.0435,0.0000,0.0000,2.0000,0.0000,0.9293,1.5479,0.8969,0.1466
1777305873.1438,0.0000,0.0000,2.0000,0.0000,0.9299,1.5474,0.8987,0.1485
1777305873.2463,0.0000,0.0000,2.0000,0.0000,0.9306,1.5470,0.9008,0.1485
1777305873.3430,0.0000,0.0000,2.0000,0.0000,0.9311,1.5466,0.9028,0.1461
1777305873.4438,0.0000,0.0000,2.0000,0.0000,0.9300,1.5469,0.9031,0.1482
1777305873.5441,0.0000,0.0000,2.0000,0.0000,0.9297,1.5469,0.9049,0.1467
1777305873.6472,0.0000,0.0000,2.0000,0.0000,0.9283,1.5468,0.9055,0.1456
1777305873.7628,0.0000,0.0000,2.0000,0.0000,0.9278,1.5465,0.9065,0.1473
1777305873.8448,0.0000,0.0000,2.0000,0.0000,0.9259,1.5461,0.9081,0.1506
1777305873.9437,0.0000,0.0000,2.0000,0.0000,0.9237,1.5446,0.9105,0.1416
1777305874.0435,0.0000,0.0000,2.0000,0.0000,0.9198,1.5402,0.9194,0.1238
1777305874.1436,0.0000,0.0000,2.0000,0.0000,0.9098,1.5286,0.9388,0.1221
1777305874.2401,0.0000,0.0000,2.0000,0.0000,0.8987,1.5169,0.9543,0.1149
1777305874.3653,0.0000,0.0000,2.0000,0.0000,0.8647,1.4771,0.9992,0.1054
1777305874.4452,0.0000,0.0000,2.0000,0.0000,0.8495,1.4600,1.0153,0.0936
1777305874.5467,0.0000,0.0000,2.0000,0.0000,0.8040,1.4072,1.0601,0.0870
1777305874.6502,0.0000,0.0000,2.0000,0.0000,0.7677,1.3644,1.0928,0.0817
1777305874.7461,0.0000,0.0000,2.0000,0.0000,0.7181,1.3060,1.1338,0.0736
1777305874.8539,0.0000,0.0000,2.0000,0.0000,0.6732,1.2541,1.1674,0.0639
1777305874.9568,0.0000,0.0000,2.0000,0.0000,0.6141,1.1872,1.2081,0.0613
1777305875.0562,0.0000,0.0000,2.0000,0.0000,0.5510,1.1164,1.2487,0.0507
1777305875.1710,0.0000,0.0000,2.0000,0.0000,0.5022,1.0629,1.2780,0.0480
1777305875.2674,0.0000,0.0000,2.0000,0.0000,0.4192,0.9725,1.3249,0.0498
1777305875.3650,0.0000,0.0000,2.0000,0.0000,0.3518,0.9004,1.3606,0.0442
1777305875.4721,0.0000,0.0000,2.0000,0.0000,0.2888,0.8337,1.3922,0.0397
1777305875.5691,0.0000,0.0000,2.0000,0.0000,0.2100,0.7496,1.4309,0.0439
1777305875.6764,0.0000,0.0000,2.0000,0.0000,0.1320,0.6624,1.4695,0.0410
1777305875.7450,0.0000,0.0000,2.0000,0.0000,0.0833,0.6055,1.4936,0.0401
1777305875.8553,0.0000,0.0000,2.0000,0.0000,0.0100,0.5139,1.5311,0.0384
1777305875.9469,0.0000,0.0000,2.0000,0.0000,-0.0459,0.4377,1.5610,0.0362
1777305876.0512,0.0000,0.0000,2.0000,0.0000,-0.1015,0.3516,1.5942,0.0386
1777305876.1469,0.0000,0.0000,2.0000,0.0000,-0.1497,0.2642,1.6279,0.0383
1777305876.2608,1.0000,1.0000,3.0000,-1.5000,-0.1950,0.1687,1.6636,0.0386
1777305876.3457,1.0000,1.0000,3.0000,-1.5000,-0.2249,0.0926,1.6935,0.0380
1777305876.4480,1.0000,1.0000,3.0000,-1.5000,-0.2489,0.0149,1.7246,-0.0074
1777305876.5552,1.0000,1.0000,3.0000,-1.5000,-0.2640,-0.0599,1.7582,-0.0676
1777305876.6534,1.0000,1.0000,3.0000,-1.5000,-0.2669,-0.1152,1.7889,-0.1286
1777305876.7545,1.0000,1.0000,3.0000,-1.5000,-0.2595,-0.1577,1.8203,-0.1907
1777305876.8550,1.0000,1.0000,3.0000,-1.5000,-0.2422,-0.1878,1.8518,-0.2478
1777305876.9541,1.0000,1.0000,3.0000,-1.5000,-0.2150,-0.2067,1.8843,-0.3119
1777305877.0534,1.0000,1.0000,3.0000,-1.5000,-0.1780,-0.2157,1.9169,-0.3709
1777305877.1533,1.0000,1.0000,3.0000,-1.5000,-0.1307,-0.2154,1.9496,-0.4345
1777305877.2537,1.0000,1.0000,3.0000,-1.5000,-0.0732,-0.2070,1.9827,-0.4949
1777305877.3545,1.0000,1.0000,3.0000,-1.5000,-0.0058,-0.1923,2.0160,-0.5538
1777305877.4542,1.0000,1.0000,3.0000,-1.5000,0.0711,-0.1718,2.0493,-0.6116
1777305877.5532,1.0000,1.0000,3.0000,-1.5000,0.1567,-0.1458,2.0825,-0.6718
1777305877.6541,1.0000,1.0000,3.0000,-1.5000,0.2496,-0.1145,2.1150,-0.7249
1777305877.7604,1.0000,1.0000,3.0000,-1.5000,0.3482,-0.0762,2.1467,-0.7838
1777305877.8709,1.0000,1.0000,3.0000,-1.5000,0.4501,-0.0298,2.1773,-0.8403
1777305877.9530,1.0000,1.0000,3.0000,-1.5000,0.5519,0.0253,2.2080,-0.9027
1777305878.0534,1.0000,1.0000,3.0000,-1.5000,0.6512,0.0897,2.2377,-0.9618
1777305878.1533,1.0000,1.0000,3.0000,-1.5000,0.7456,0.1634,2.2666,-1.0179
1777305878.2545,1.0000,1.0000,3.0000,-1.5000,0.8337,0.2465,2.2949,-1.0792
1777305878.3561,1.0000,1.0000,3.0000,-1.5000,0.9157,0.3392,2.3226,-1.1421
1777305878.4542,1.0000,1.0000,3.0000,-1.5000,0.9938,0.4397,2.3514,-1.1948
