time,target_x,target_y,target_z,target_yaw,x,y,z,yaw
1777305728.6497,0.0000,0.0000,2.0000,0.0000,2.0693,1.9054,0.9149,0.1124
1777305728.7245,0.0000,0.0000,2.0000,0.0000,2.0717,1.9064,0.9170,0.1126
1777305728.8295,0.0000,0.0000,2.0000,0.0000,2.0745,1.9079,0.9200,0.1139
1777305728.9332,0.0000,0.0000,2.0000,0.0000,2.0766,1.9094,0.9234,0.1173
1777305729.0259,0.0000,0.0000,2.0000,0.0000,2.0791,1.9115,0.9271,0.1179
1777305729.1312,0.0000,0.0000,2.0000,0.0000,2.0799,1.9136,0.9284,0.1127
1777305729.2257,0.0000,0.0000,2.0000,0.0000,2.0804,1.9157,0.9316,0.1175
1777305729.3339,0.0000,0.0000,2.0000,0.0000,2.0799,1.9183,0.9324,0.1157
1777305729.4457,0.0000,0.0000,2.0000,0.0000,2.0795,1.9210,0.9356,0.1178
1777305729.5361,0.0000,0.0000,2.0000,0.0000,2.0765,1.9226,0.9404,0.1120
1777305729.6353,0.0000,0.0000,2.0000,0.0000,2.0281,1.9222,0.8849,0.0991
1777305729.7340,0.0000,0.0000,2.0000,0.0000,2.0594,1.9117,0.9774,0.1029
1777305729.8381,0.0000,0.0000,2.0000,0.0000,2.0426,1.8958,1.0050,0.0967
1777305729.9382,0.0000,0.0000,2.0000,0.0000,2.0196,1.8725,1.0372,0.0906
1777305730.0341,0.0000,0.0000,2.0000,0.0000,1.9912,1.8421,1.0739,0.0865
1777305730.1340,0.0000,0.0000,2.0000,0.0000,1.9566,1.8056,1.1118,0.0864
1777305730.2342,0.0000,0.0000,2.0000,0.0000,1.9178,1.7621,1.1528,0.0810
1777305730.3331,0.0000,0.0000,2.0000,0.0000,1.8734,1.7136,1.1928,0.0765
1777305730.4285,0.0000,0.0000,2.0000,0.0000,1.8297,1.6655,1.2297,0.0724
1777305730.5344,0.0000,0.0000,2.0000,0.0000,1.7729,1.6018,1.2748,0.0799
1777305730.6338,0.0000,0.0000,2.0000,0.0000,1.7175,1.5404,1.3140,0.0728
1777305730.7371,0.0000,0.0000,2.0000,0.0000,1.6609,1.4749,1.3541,0.0765
1777305730.8338,0.0000,0.0000,2.0000,0.0000,1.6013,1.4061,1.3928,0.0800
1777305730.9339,0.0000,0.0000,2.0000,0.0000,1.5395,1.3337,1.4282,0.0757
1777305731.0363,0.0000,0.0000,2.0000,0.0000,1.4755,1.2579,1.4619,0.0740
1777305731.1333,0.0000,0.0000,2.0000,0.0000,1.4088,1.1794,1.4919,0.0692
1777305731.2337,0.0000,0.0000,2.0000,0.0000,1.3396,1.0989,1.5198,0.0731
1777305731.3342,0.0000,0.0000,2.0000,0.0000,1.2673,1.0160,1.5440,0.0683
1777305731.4344,0.0000,0.0000,2.0000,0.0000,1.1920,0.9313,1.5648,0.0604
1777305731.5360,0.0000,0.0000,2.0000,0.0000,1.1137,0.8448,1.5835,0.0587
1777305731.6339,0.0000,0.0000,2.0000,0.0000,1.0322,0.7571,1.6011,0.0593
1777305731.7333,0.0000,0.0000,2.0000,0.0000,0.9474,0.6686,1.6171,0.0569
1777305731.8335,0.0000,0.0000,2.0000,0.0000,0.8599,0.5797,1.6311,0.0597
1777305731.9400,0.0000,0.0000,2.0000,0.0000,0.7702,0.4909,1.6433,0.0555
1777305732.0333,0.0000,0.0000,2.0000,0.0000,0.6785,0.4044,1.6536,0.0485
1777305732.1333,0.0000,0.0000,2.0000,0.0000,0.5853,0.3221,1.6629,0.0539
1777305732.2340,0.0000,0.0000,2.0000,0.0000,0.4919,0.2455,1.6721,0.0565
1777305732.3442,0.0000,0.0000,2.0000,0.0000,0.3998,0.1757,1.6804,0.0517
1777305732.4332,0.0000,0.0000,2.0000,0.0000,0.3116,0.1145,1.6889,0.0558
1777305732.5335,1.0000,1.0000,3.0000,-1.5000,0.2289,0.0615,1.6973,0.0570
1777305732.6438,1.0000,1.0000,3.0000,-1.5000,0.1472,0.0141,1.7069,0.0430
1777305732.7460,1.0000,1.0000,3.0000,-1.5000,0.0851,-0.0172,1.7196,-0.0099
1777305732.8442,1.0000,1.0000,3.0000,-1.5000,0.0357,-0.0387,1.7388,-0.0683
1777305732.9370,1.0000,1.0000,3.0000,-1.5000,0.0028,-0.0485,1.7602,-0.1242
1777305733.0391,1.0000,1.0000,3.0000,-1.5000,-0.0207,-0.0506,1.7884,-0.1805
1777305733.1383,1.0000,1.0000,3.0000,-1.5000,-0.0313,-0.0433,1.8192,-0.2464
1777305733.2355,1.0000,1.0000,3.0000,-1.5000,-0.0296,-0.0278,1.8520,-0.3034
1777305733.3435,1.0000,1.0000,3.0000,-1.5000,-0.0138,-0.0036,1.8893,-0.3709
1777305733.4408,1.0000,1.0000,3.0000,-1.5000,0.0101,0.0213,1.9200,-0.4335
1777305733.5370,1.0000,1.0000,3.0000,-1.5000,0.0478,0.0533,1.9538,-0.4938
