time,target_x,target_y,target_z,target_yaw,x,y,z,yaw
0.0038,1.0000,-1.0000,2.0000,0.0000,0.3054,-0.7236,0.8550,0.0591
0.1035,1.0000,-1.0000,2.0000,0.0000,0.3072,-0.7241,0.8520,0.0603
0.2034,1.0000,-1.0000,2.0000,0.0000,0.3089,-0.7245,0.8492,0.0576
0.3038,1.0000,-1.0000,2.0000,0.0000,0.3102,-0.7251,0.8474,0.0581
0.4036,1.0000,-1.0000,2.0000,0.0000,0.3115,-0.7256,0.8457,0.0581
0.5035,1.0000,-1.0000,2.0000,0.0000,0.3127,-0.7261,0.8446,0.0592
0.6035,1.0000,-1.0000,2.0000,0.0000,0.3140,-0.7265,0.8438,0.0586
0.7032,1.0000,-1.0000,2.0000,0.0000,0.3156,-0.7270,0.8428,0.0550
0.8039,1.0000,-1.0000,2.0000,0.0000,0.3173,-0.7278,0.8426,0.0575
0.9040,1.0000,-1.0000,2.0000,0.0000,0.3188,-0.7287,0.8423,0.0578
1.0034,1.0000,-1.0000,2.0000,0.0000,0.3200,-0.7299,0.8419,0.0568
1.1036,1.0000,-1.0000,2.0000,0.0000,0.3209,-0.7319,0.8409,0.0575
1.2080,1.0000,-1.0000,2.0000,0.0000,0.3213,-0.7343,0.8400,0.0567
1.3038,1.0000,-1.0000,2.0000,0.0000,0.3215,-0.7367,0.8389,0.0570
1.4076,1.0000,-1.0000,2.0000,0.0000,0.3230,-0.7406,0.8403,0.0508
1.5063,1.0000,-1.0000,2.0000,0.0000,0.3261,-0.7449,0.8460,0.0461
1.6108,1.0000,-1.0000,2.0000,0.0000,0.3355,-0.7553,0.8611,0.0400
1.7139,1.0000,-1.0000,2.0000,0.0000,0.3523,-0.7721,0.8808,0.0357
1.8126,1.0000,-1.0000,2.0000,0.0000,0.3779,-0.7971,0.9072,0.0290
1.9152,1.0000,-1.0000,2.0000,0.0000,0.4101,-0.8279,0.9365,0.0252
2.0182,1.0000,-1.0000,2.0000,0.0000,0.4507,-0.8658,0.9703,0.0270
2.1314,1.0000,-1.0000,2.0000,0.0000,0.4979,-0.9072,1.0065,0.0291
2.2222,1.0000,-1.0000,2.0000,0.0000,0.5491,-0.9477,1.0428,0.0309
2.3293,1.0000,-1.0000,2.0000,0.0000,0.6070,-0.9870,1.0812,0.0305
2.4259,1.0000,-1.0000,2.0000,0.0000,0.6671,-1.0202,1.1200,0.0347
2.5295,1.0000,-1.0000,2.0000,0.0000,0.7247,-1.0443,1.1572,0.0312
2.6435,1.0000,-1.0000,2.0000,0.0000,0.7884,-1.0600,1.2015,0.0297
2.7356,1.0000,-1.0000,2.0000,0.0000,0.8271,-1.0629,1.2323,0.0301
2.8079,1.0000,-1.0000,2.0000,0.0000,0.8644,-1.0587,1.2689,0.0305
2.9075,1.0000,-1.0000,2.0000,0.0000,0.8926,-1.0494,1.3056,0.0306
3.0089,1.0000,-1.0000,2.0000,0.0000,0.9116,-1.0390,1.3417,0.0338
3.1079,1.0000,-1.0000,2.0000,0.0000,0.9234,-1.0315,1.3774,0.0338
3.2086,1.0000,-1.0000,2.0000,0.0000,0.9304,-1.0293,1.4122,0.0325
3.3124,1.0000,-1.0000,2.0000,0.0000,0.9353,-1.0345,1.4476,0.0270
3.4117,1.0000,-1.0000,2.0000,0.0000,0.9407,-1.0453,1.4812,0.0273
3.5121,1.0000,-1.0000,2.0000,0.0000,0.9485,-1.0590,1.5152,0.0268
3.6131,1.0000,-1.0000,2.0000,0.0000,0.9592,-1.0710,1.5492,0.0256
3.7120,1.0000,-1.0000,2.0000,0.0000,0.9720,-1.0775,1.5833,0.0237
3.8119,1.0000,-1.0000,2.0000,0.0000,0.9853,-1.0769,1.6175,0.0220
