time,target_x,target_y,target_z,target_yaw,x,y,z,yaw
0.0034,1.0000,-1.0000,2.0000,0.0000,0.3333,-0.6497,0.8627,0.0665
0.1035,1.0000,-1.0000,2.0000,0.0000,0.3363,-0.6512,0.8613,0.0645
0.2033,1.0000,-1.0000,2.0000,0.0000,0.3394,-0.6527,0.8601,0.0646
0.3034,1.0000,-1.0000,2.0000,0.0000,0.3426,-0.6542,0.8587,0.0668
0.4034,1.0000,-1.0000,2.0000,0.0000,0.3459,-0.6557,0.8579,0.0650
0.5034,1.0000,-1.0000,2.0000,0.0000,0.3493,-0.6572,0.8568,0.0659
0.6035,1.0000,-1.0000,2.0000,0.0000,0.3524,-0.6587,0.8553,0.0657
0.7032,1.0000,-1.0000,2.0000,0.0000,0.3556,-0.6600,0.8539,0.0656
0.8033,1.0000,-1.0000,2.0000,0.0000,0.3587,-0.6609,0.8523,0.0639
0.9034,1.0000,-1.0000,2.0000,0.0000,0.3620,-0.6615,0.8509,0.0646
1.0055,1.0000,-1.0000,2.0000,0.0000,0.3639,-0.6616,0.8501,0.0633
1.1082,1.0000,-1.0000,2.0000,0.0000,0.3675,-0.6622,0.8491,0.0661
1.2056,1.0000,-1.0000,2.0000,0.0000,0.3693,-0.6623,0.8484,0.0647
1.3067,1.0000,-1.0000,2.0000,0.0000,0.3728,-0.6636,0.8501,0.0624
1.4120,1.0000,-1.0000,2.0000,0.0000,0.3800,-0.6680,0.8606,0.0571
1.5119,1.0000,-1.0000,2.0000,0.0000,0.3926,-0.6772,0.8779,0.0525
1.6144,1.0000,-1.0000,2.0000,0.0000,0.4133,-0.6935,0.9021,0.0481
1.7221,1.0000,-1.0000,2.0000,0.0000,0.4424,-0.7168,0.9315,0.0413
1.8179,1.0000,-1.0000,2.0000,0.0000,0.4778,-0.7450,0.9634,0.0419
1.9231,1.0000,-1.0000,2.0000,0.0000,0.5212,-0.7792,0.9989,0.0333
2.0234,1.0000,-1.0000,2.0000,0.0000,0.5687,-0.8156,1.0348,0.0327
2.1300,1.0000,-1.0000,2.0000,0.0000,0.6232,-0.8556,1.0730,0.0309
2.2279,1.0000,-1.0000,2.0000,0.0000,0.6817,-0.8961,1.1117,0.0332
2.3325,1.0000,-1.0000,2.0000,0.0000,0.7411,-0.9345,1.1491,0.0303
2.4343,1.0000,-1.0000,2.0000,0.0000,0.8044,-0.9724,1.1885,0.0305
2.5355,1.0000,-1.0000,2.0000,0.0000,0.8652,-1.0061,1.2261,0.0294
2.6388,1.0000,-1.0000,2.0000,0.0000,0.9266,-1.0377,1.2650,0.0314
2.7116,1.0000,-1.0000,2.0000,0.0000,0.9821,-1.0646,1.3023,0.0313
2.8115,1.0000,-1.0000,2.0000,0.0000,1.0329,-1.0879,1.3395,0.0290
2.9115,1.0000,-1.0000,2.0000,0.0000,1.0783,-1.1074,1.3767,0.0312
3.0118,1.0000,-1.0000,2.0000,0.0000,1.1180,-1.1229,1.4137,0.0272
3.1113,1.0000,-1.0000,2.0000,0.0000,1.1514,-1.1339,1.4502,0.0284
3.2120,1.0000,-1.0000,2.0000,0.0000,1.1786,-1.1412,1.4874,0.0288
3.3114,1.0000,-1.0000,2.0000,0.0000,1.1992,-1.1446,1.5244,0.0301
3.4133,1.0000,-1.0000,2.0000,0.0000,1.2130,-1.1447,1.5617,0.0304
3.5125,1.0000,-1.0000,2.0000,0.0000,1.2204,-1.1415,1.5983,0.0278
3.6119,1.0000,-1.0000,2.0000,0.0000,1.2213,-1.1363,1.6345,0.0287
3.7115,1.0000,-1.0000,2.0000,0.0000,1.2161,-1.1288,1.6702,0.0298
