time,target_x,target_y,target_z,target_yaw,x,y,z,yaw
0.0251,1.0000,-1.0000,2.0000,0.0000,0.8498,-1.6768,0.6843,-3.0645
0.1281,1.0000,-1.0000,2.0000,0.0000,0.8472,-1.6768,0.7248,-3.0573
0.2304,1.0000,-1.0000,2.0000,0.0000,0.8467,-1.6756,0.7599,-3.0038
0.3016,1.0000,-1.0000,2.0000,0.0000,0.8476,-1.6708,0.7943,-2.9456
0.4060,1.0000,-1.0000,2.0000,0.0000,0.8502,-1.6599,0.8298,-2.8777
0.5022,1.0000,-1.0000,2.0000,0.0000,0.8552,-1.6429,0.8628,-2.8140
0.6055,1.0000,-1.0000,2.0000,0.0000,0.8614,-1.6156,0.9005,-2.7425
0.7057,1.0000,-1.0000,2.0000,0.0000,0.8682,-1.5832,0.9356,-2.6776
0.8054,1.0000,-1.0000,2.0000,0.0000,0.8745,-1.5456,0.9709,-2.6144
0.9056,1.0000,-1.0000,2.0000,0.0000,0.8796,-1.5031,1.0068,-2.5510
1.0061,1.0000,-1.0000,2.0000,0.0000,0.8838,-1.4581,1.0432,-2.4880
1.1059,1.0000,-1.0000,2.0000,0.0000,0.8878,-1.4113,1.0790,-2.4313
1.2055,1.0000,-1.0000,2.0000,0.0000,0.8920,-1.3641,1.1153,-2.3735
1.3054,1.0000,-1.0000,2.0000,0.0000,0.8967,-1.3177,1.1510,-2.3235
1.4064,1.0000,-1.0000,2.0000,0.0000,0.9017,-1.2724,1.1870,-2.2697
1.5057,1.0000,-1.0000,2.0000,0.0000,0.9076,-1.2293,1.2225,-2.2116
1.6060,1.0000,-1.0000,2.0000,0.0000,0.9131,-1.1887,1.2586,-2.1613
1.7053,1.0000,-1.0000,2.0000,0.0000,0.9188,-1.1514,1.2945,-2.1059
1.8051,1.0000,-1.0000,2.0000,0.0000,0.9245,-1.1175,1.3299,-2.0488
1.9053,1.0000,-1.0000,2.0000,0.0000,0.9298,-1.0871,1.3652,-1.9928
2.0066,1.0000,-1.0000,2.0000,0.0000,0.9347,-1.0604,1.4000,-1.9408
2.1079,1.0000,-1.0000,2.0000,0.0000,0.9387,-1.0376,1.4342,-1.8819
2.2125,1.0000,-1.0000,2.0000,0.0000,0.9421,-1.0172,1.4682,-1.8175
2.3091,1.0000,-1.0000,2.0000,0.0000,0.9446,-1.0007,1.4982,-1.7583
2.4077,1.0000,-1.0000,2.0000,0.0000,0.9461,-0.9874,1.5253,-1.6996
2.5092,1.0000,-1.0000,2.0000,0.0000,0.9472,-0.9749,1.5514,-1.6441
2.6095,1.0000,-1.0000,2.0000,0.0000,0.9481,-0.9653,1.5746,-1.5785
2.7099,1.0000,-1.0000,2.0000,0.0000,0.9483,-0.9570,1.5958,-1.5227
2.8107,1.0000,-1.0000,2.0000,0.0000,0.9488,-0.9504,1.6151,-1.4617
2.9096,1.0000,-1.0000,2.0000,0.0000,0.9491,-0.9451,1.6328,-1.3963
3.0094,1.0000,-1.0000,2.0000,0.0000,0.9494,-0.9411,1.6490,-1.3366
3.1106,1.0000,-1.0000,2.0000,0.0000,0.9494,-0.9384,1.6640,-1.2716
3.2184,1.0000,-1.0000,2.0000,0.0000,0.9491,-0.9375,1.6731,-1.2312
3.3099,1.0000,-1.0000,2.0000,0.0000,0.9475,-0.9371,1.6914,-1.1459
3.4112,1.0000,-1.0000,2.0000,0.0000,0.9456,-0.9386,1.7043,-1.0827
3.5146,1.0000,-1.0000,2.0000,0.0000,0.9432,-0.9410,1.7161,-1.0194
3.6099,1.0000,-1.0000,2.0000,0.0000,0.9407,-0.9440,1.7269,-0.9587
3.7134,1.0000,-1.0000,2.0000,0.0000,0.9386,-0.9468,1.7352,-0.9104
3.8137,1.0000,-1.0000,2.0000,0.0000,0.9357,-0.9508,1.7456,-0.8423
3.9162,1.0000,-1.0000,2.0000,0.0000,0.9327,-0.9550,1.7553,-0.7827
4.0208,1.0000,-1.0000,2.0000,0.0000,0.9293,-0.9593,1.7644,-0.7208
4.1200,1.0000,-1.0000,2.0000,0.0000,0.9258,-0.9636,1.7725,-0.6589
4.2413,1.0000,-1.0000,2.0000,0.0000,0.9224,-0.9679,1.7803,-0.5924
4.3295,1.0000,-1.0000,2.0000,0.0000,0.9189,-0.9728,1.7878,-0.5287
4.4265,1.0000,-1.0000,2.0000,0.0000,0.9154,-0.9778,1.7950,-0.4672
4.5309,1.0000,-1.0000,2.0000,0.0000,0.9133,-0.9830,1.8013,-0.4123
4.6339,1.0000,-1.0000,2.0000,0.0000,0.9119,-0.9898,1.8084,-0.3536
4.7353,1.0000,-1.0000,2.0000,0.0000,0.9118,-0.9943,1.8130,-0.3236
4.8396,1.0000,-1.0000,2.0000,0.0000,0.9129,-1.0002,1.8182,-0.2886
4.9402,1.0000,-1.0000,2.0000,0.0000,0.9148,-1.0060,1.8236,-0.2615
5.0137,1.0000,-1.0000,2.0000,0.0000,0.9175,-1.0116,1.8286,-0.2332
5.1463,1.0000,-1.0000,2.0000,0.0000,0.9210,-1.0175,1.8338,-0.2108
5.2177,1.0000,-1.0000,2.0000,0.0000,0.9251,-1.0231,1.8385,-0.1910
5.3184,1.0000,-1.0000,2.0000,0.0000,0.9297,-1.0285,1.8431,-0.1751
5.4186,1.0000,-1.0000,2.0000,0.0000,0.9345,-1.0337,1.8477,-0.1606
5.5184,1.0000,-1.0000,2.0000,0.0000,0.9393,-1.0387,1.8521,-0.1473
5.6186,1.0000,-1.0000,2.0000,0.0000,0.9442,-1.0430,1.8558,-0.1340
5.7177,1.0000,-1.0000,2.0000,0.0000,0.9487,-1.0469,1.8594,-0.1219
5.8176,1.0000,-1.0000,2.0000,0.0000,0.9530,-1.0502,1.8625,-0.1152
5.9184,1.0000,-1.0000,2.0000,0.0000,0.9567,-1.0531,1.8651,-0.1074
6.0179,1.0000,-1.0000,2.0000,0.0000,0.9602,-1.0552,1.8679,-0.1001
6.1186,1.0000,-1.0000,2.0000,0.0000,0.9633,-1.0569,1.8704,-0.0940
6.2182,1.0000,-1.0000,2.0000,0.0000,0.9661,-1.0581,1.8729,-0.0876
6.3180,1.0000,-1.0000,2.0000,0.0000,0.9686,-1.0591,1.8755,-0.0808
6.4175,1.0000,-1.0000,2.0000,0.0000,0.9707,-1.0600,1.8782,-0.0794
6.5176,1.0000,-1.0000,2.0000,0.0000,0.9731,-1.0609,1.8813,-0.0732
6.6216,1.0000,-1.0000,2.0000,0.0000,0.9754,-1.0616,1.8844,-0.0696
6.7217,1.0000,-1.0000,2.0000,0.0000,0.9777,-1.0619,1.8873,-0.0654
6.8213,1.0000,-1.0000,2.0000,0.0000,0.9801,-1.0623,1.8899,-0.0638
