time,target_x,target_y,target_z,target_yaw,x,y,z,yaw
0.0006,1.0000,-1.0000,2.0000,0.0000,0.3077,-0.6182,0.8254,-0.0101
0.1046,1.0000,-1.0000,2.0000,0.0000,0.3101,-0.6177,0.8261,-0.0097
0.2013,1.0000,-1.0000,2.0000,0.0000,0.3121,-0.6175,0.8268,-0.0104
0.3026,1.0000,-1.0000,2.0000,0.0000,0.3136,-0.6173,0.8274,-0.0108
0.4029,1.0000,-1.0000,2.0000,0.0000,0.3150,-0.6167,0.8276,-0.0103
0.5074,1.0000,-1.0000,2.0000,0.0000,0.3165,-0.6165,0.8284,-0.0104
0.6100,1.0000,-1.0000,2.0000,0.0000,0.3177,-0.6162,0.8290,-0.0139
0.7122,1.0000,-1.0000,2.0000,0.0000,0.3189,-0.6158,0.8292,-0.0105
0.8146,1.0000,-1.0000,2.0000,0.0000,0.3201,-0.6154,0.8296,-0.0116
0.9154,1.0000,-1.0000,2.0000,0.0000,0.3211,-0.6149,0.8300,-0.0118
1.0199,1.0000,-1.0000,2.0000,0.0000,0.3217,-0.6143,0.8302,-0.0124
1.1218,1.0000,-1.0000,2.0000,0.0000,0.3222,-0.6140,0.8298,-0.0099
1.2263,1.0000,-1.0000,2.0000,0.0000,0.3227,-0.6143,0.8296,-0.0088
1.3264,1.0000,-1.0000,2.0000,0.0000,0.3235,-0.6150,0.8294,-0.0109
1.4281,1.0000,-1.0000,2.0000,0.0000,0.3246,-0.6160,0.8294,-0.0099
1.5314,1.0000,-1.0000,2.0000,0.0000,0.3258,-0.6167,0.8293,-0.0085
1.6051,1.0000,-1.0000,2.0000,0.0000,0.3270,-0.6177,0.8294,-0.0100
1.7364,1.0000,-1.0000,2.0000,0.0000,0.3286,-0.6186,0.8289,-0.0107
1.8093,1.0000,-1.0000,2.0000,0.0000,0.3308,-0.6202,0.8309,-0.0086
1.9058,1.0000,-1.0000,2.0000,0.0000,0.3360,-0.6242,0.8396,-0.0112
2.0091,1.0000,-1.0000,2.0000,0.0000,0.3471,-0.6331,0.8565,-0.0128
2.1093,1.0000,-1.0000,2.0000,0.0000,0.3647,-0.6477,0.8790,-0.0141
2.2089,1.0000,-1.0000,2.0000,0.0000,0.3896,-0.6684,0.9061,-0.0129
