time,target_x,target_y,target_z,target_yaw,x,y,z,yaw
0.0200,2.0000,2.0000,4.0000,4.1400,0.0000,0.0000,0.9759,0.0000
0.0400,2.0000,2.0000,4.0000,4.1400,0.0000,0.0000,0.9387,-0.0474
0.0600,2.0000,2.0000,4.0000,4.1400,0.0001,0.0000,0.9155,-0.2312
0.0800,2.0000,2.0000,4.0000,4.1400,0.0011,0.0007,0.9032,-0.3675
0.1000,2.0000,2.0000,4.0000,4.1400,0.0042,0.0027,0.9102,-0.5268
0.1200,2.0000,2.0000,4.0000,4.1400,0.0102,0.0061,0.9360,-0.6722
0.1400,2.0000,2.0000,4.0000,4.1400,0.0192,0.0111,0.9767,-0.8241
0.1600,2.0000,2.0000,4.0000,4.1400,0.0318,0.0176,1.0284,-0.9715
0.1800,2.0000,2.0000,4.0000,4.1400,0.0477,0.0259,1.0877,-1.1102
0.2000,2.0000,2.0000,4.0000,4.1400,0.0666,0.0368,1.1521,-1.2274
0.2200,2.0000,2.0000,4.0000,4.1400,0.0887,0.0507,1.2203,-1.3347
0.2400,2.0000,2.0000,4.0000,4.1400,0.1140,0.0680,1.2914,-1.4273
0.2600,2.0000,2.0000,4.0000,4.1400,0.1426,0.0891,1.3644,-1.5107
0.2800,2.0000,2.0000,4.0000,4.1400,0.1748,0.1141,1.4390,-1.5834
0.3000,2.0000,2.0000,4.0000,4.1400,0.2108,0.1433,1.5146,-1.6488
0.3200,2.0000,2.0000,4.0000,4.1400,0.2507,0.1767,1.5909,-1.7058
0.3400,2.0000,2.0000,4.0000,4.1400,0.2949,0.2142,1.6678,-1.7569
0.3600,2.0000,2.0000,4.0000,4.1400,0.3434,0.2554,1.7450,-1.8017
0.3800,2.0000,2.0000,4.0000,4.1400,0.3965,0.3003,1.8226,-1.8417
0.4000,2.0000,2.0000,4.0000,4.1400,0.4540,0.3484,1.8999,-1.8772
0.4200,2.0000,2.0000,4.0000,4.1400,0.5161,0.3994,1.9768,-1.9082
0.4400,2.0000,2.0000,4.0000,4.1400,0.5824,0.4532,2.0534,-1.9359
0.4600,2.0000,2.0000,4.0000,4.1400,0.6528,0.5093,2.1298,-1.9602
0.4800,2.0000,2.0000,4.0000,4.1400,0.7269,0.5676,2.2061,-1.9817
0.5000,2.0000,2.0000,4.0000,4.1400,0.8041,0.6279,2.2824,-2.0008
0.5200,2.0000,2.0000,4.0000,4.1400,0.8838,0.6900,2.3584,-2.0174
0.5400,2.0000,2.0000,4.0000,4.1400,0.9655,0.7538,2.4339,-2.0319
0.5600,2.0000,2.0000,4.0000,4.1400,1.0484,0.8193,2.5094,-2.0453
0.5800,2.0000,2.0000,4.0000,4.1400,1.1320,0.8862,2.5839,-2.0569
0.6000,2.0000,2.0000,4.0000,4.1400,1.2155,0.9542,2.6559,-2.0668
0.6200,2.0000,2.0000,4.0000,4.1400,1.2980,1.0229,2.7239,-2.0758
0.6400,2.0000,2.0000,4.0000,4.1400,1.3790,1.0920,2.7882,-2.0835
0.6600,2.0000,2.0000,4.0000,4.1400,1.4580,1.1614,2.8494,-2.0904
0.6800,2.0000,2.0000,4.0000,4.1400,1.5344,1.2310,2.9076,-2.0964
0.7000,2.0000,2.0000,4.0000,4.1400,1.6079,1.3005,2.9629,-2.1017
0.7200,2.0000,2.0000,4.0000,4.1400,1.6779,1.3699,3.0155,-2.1064
0.7400,2.0000,2.0000,4.0000,4.1400,1.7442,1.4390,3.0654,-2.1105
0.7600,2.0000,2.0000,4.0000,4.1400,1.8063,1.5076,3.1125,-2.1141
0.7800,2.0000,2.0000,4.0000,4.1400,1.8641,1.5756,3.1576,-2.1174
0.8000,2.0000,2.0000,4.0000,4.1400,1.9173,1.6427,3.2013,-2.1202
0.8200,2.0000,2.0000,4.0000,4.1400,1.9660,1.7087,3.2433,-2.1227
0.8400,2.0000,2.0000,4.0000,4.1400,2.0101,1.7734,3.2834,-2.1249
0.8600,2.0000,2.0000,4.0000,4.1400,2.0495,1.8365,3.3215,-2.1269
0.8800,2.0000,2.0000,4.0000,4.1400,2.0843,1.8977,3.3576,-2.1286
0.9000,2.0000,2.0000,4.0000,4.1400,2.1146,1.9567,3.3918,-2.1302
0.9200,2.0000,2.0000,4.0000,4.1400,2.1404,2.0134,3.4241,-2.1316
0.9400,2.0000,2.0000,4.0000,4.1400,2.1620,2.0673,3.4546,-2.1328
0.9600,2.0000,2.0000,4.0000,4.1400,2.1794,2.1183,3.4835,-2.1339
0.9800,2.0000,2.0000,4.0000,4.1400,2.1928,2.1659,3.5109,-2.1349
1.0000,2.0000,2.0000,4.0000,4.1400,2.2025,2.2101,3.5367,-2.1358
1.0200,2.0000,2.0000,4.0000,4.1400,2.2087,2.2503,3.5609,-2.1366
1.0400,2.0000,2.0000,4.0000,4.1400,2.2115,2.2865,3.5834,-2.1373
